Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
HINNENKAMP PAUL D,EVP & Chief Operating Officer,2022-05-27,Option Exercise,70.53,"6,500","458,445","32,602",Jun 01 06:13 PM
HINNENKAMP PAUL D,EVP & Chief Operating Officer,2022-05-27,Sale,120.94,"6,500","786,110","26,102",Jun 01 06:13 PM
RODRIGUEZ DEANNA D.,"""Officer"" Under Sec. 16 Rules",2022-04-29,Sale,120.22,256,"30,776","3,108",May 02 05:38 PM
NORGEOT PETER S JR,"SVP, Operations & Development",2022-04-20,Option Exercise,70.56,"4,068","287,038","29,423",Apr 21 05:56 PM
NORGEOT PETER S JR,"SVP, Operations & Development",2022-04-20,Sale,125.62,"4,068","511,022","25,355",Apr 21 05:56 PM
DENAULT LEO P,Chairman and CEO,2022-04-05,Option Exercise,63.17,"27,036","1,707,864","416,429",Apr 06 06:08 PM
DENAULT LEO P,Chairman and CEO,2022-04-05,Sale,120.66,"19,783","2,387,085","396,646",Apr 06 06:08 PM
DENAULT LEO P,Chairman and CEO,2022-04-01,Option Exercise,63.17,"78,964","4,988,156","447,282",Apr 05 06:15 PM
May Phillip R Jr,"""Officer"" Under Sec. 16 Rules",2022-04-01,Option Exercise,78.08,"3,300","257,664","21,864",Apr 05 06:17 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-04-01,Option Exercise,63.17,"35,000","2,210,950","139,433",Apr 05 06:16 PM
NORGEOT PETER S JR,"SVP, Operations & Development",2022-04-01,Option Exercise,70.56,"2,360","166,522","27,715",Apr 05 06:18 PM
NORGEOT PETER S JR,"SVP, Operations & Development",2022-04-01,Sale,120.0,"2,360","283,200","25,355",Apr 05 06:18 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-04-01,Sale,120.06,"35,000","4,202,100","104,433",Apr 05 06:16 PM
May Phillip R Jr,"""Officer"" Under Sec. 16 Rules",2022-04-01,Sale,120.0,"9,772","1,172,640","12,092",Apr 05 06:17 PM
DENAULT LEO P,Chairman and CEO,2022-04-01,Sale,120.1,"57,889","6,952,469","389,393",Apr 05 06:15 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-03-28,Option Exercise,64.6,"30,700","1,983,220","135,133",Mar 29 05:11 PM
DENAULT LEO P,Chairman and CEO,2022-03-28,Option Exercise,64.6,"46,149","2,981,225","403,079",Mar 29 05:10 PM
DENAULT LEO P,Chairman and CEO,2022-03-28,Sale,115.02,"34,761","3,998,210","368,318",Mar 29 05:10 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-03-28,Sale,115.02,"30,700","3,531,114","104,433",Mar 29 05:11 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-03-25,Option Exercise,64.6,"1,300","83,980","105,733",Mar 29 05:11 PM
DENAULT LEO P,Chairman and CEO,2022-03-25,Option Exercise,64.6,"3,851","248,775","359,831",Mar 29 05:10 PM
DENAULT LEO P,Chairman and CEO,2022-03-25,Sale,115.01,"2,901","333,644","356,930",Mar 29 05:10 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-03-25,Sale,115.02,"1,300","149,526","104,433",Mar 29 05:11 PM
HERMAN ALEXIS M,Director,2022-03-10,Sale,108.87,185,"20,141","6,706",Mar 10 04:35 PM
HINNENKAMP PAUL D,EVP & Chief Operating Officer,2022-03-04,Sale,111.85,"5,000","559,250","26,102",Mar 07 04:21 PM
Brown Marcus V,EVP & General Counsel,2022-03-04,Sale,111.93,"4,500","503,685","18,052",Mar 07 04:20 PM
FONTAN KIMBERLY A.,"SVP, Chief Accounting Officer",2022-03-04,Sale,111.78,"1,350","150,903","5,662",Mar 07 04:21 PM
FISACKERLY HALEY,"""Officer"" Under Sec. 16 Rules",2022-02-25,Sale,105.42,750,"79,065","2,320",Feb 28 04:18 PM
HINNENKAMP PAUL D,EVP & Chief Operating Officer,2022-02-25,Sale,105.4,"5,000","527,000","30,757",Feb 28 04:21 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-01-24,Option Exercise,71.3,"10,000","713,000","111,481",Jan 25 05:12 PM
Marsh Andrew S,EVP & Chief Financial Officer,2022-01-24,Sale,108.79,"10,000","1,087,900","101,481",Jan 25 05:12 PM
HERMAN ALEXIS M,Director,2021-12-08,Sale,105.18,193,"20,300","6,701",Dec 09 04:09 PM
Landreaux Laura R,"""Officer"" Under Sec. 16 Rules",2021-11-19,Sale,105.75,450,"47,588","3,930",Nov 22 05:09 PM
HERMAN ALEXIS M,Director,2021-11-10,Sale,102.81,176,"18,095","6,696",Nov 12 04:08 PM
HINNENKAMP PAUL D,EVP & Chief Operating Officer,2021-08-19,Sale,111.35,"4,000","445,400","25,946",Aug 20 04:21 PM
HERMAN ALEXIS M,Director,2021-08-12,Sale,109.0,186,"20,274","6,692",Aug 13 04:10 PM
