Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MILLER JOHN M,VP and Chief IP Counsel,2022-07-29,Option Exercise,80.11,"1,200","96,132","5,708",Aug 01 06:07 PM
MILLER JOHN M,VP and Chief IP Counsel,2022-07-29,Sale,253.10,"1,200","303,717","4,508",Aug 01 06:07 PM
Perducat Cyril,"SVP, Chief Technology Officer",2022-06-02,Sale,217.75,664,"144,583","1,576",Jun 03 04:46 PM
Perducat Cyril,"SVP, Chief Technology Officer",2022-06-01,Option Exercise,0.0,"2,240",0,"2,240",Jun 03 04:46 PM
Watson Patricia A,Director,2022-05-05,Buy,219.58,"1,110","243,734","4,827",May 05 06:44 PM
Gangestad Nicholas C,Sr. VP and CFO,2022-03-02,Sale,270.32,"1,870","505,508","3,938",Mar 03 06:30 PM
Gangestad Nicholas C,Sr. VP and CFO,2022-03-01,Option Exercise,0.0,"5,308",0,"5,808",Mar 03 06:30 PM
Shepherd Brian A,Sr. VP Software and Control,2022-02-02,Sale,294.22,621,"182,712","1,399",Feb 03 04:25 PM
GENEREUX SCOTT,"Sr.VP, Chief Revenue Officer",2022-02-02,Sale,294.21,938,"275,971","1,753",Feb 03 04:21 PM
Shepherd Brian A,Sr. VP Software and Control,2022-02-01,Option Exercise,0.0,"2,020",0,"2,020",Feb 03 04:25 PM
GENEREUX SCOTT,"Sr.VP, Chief Revenue Officer",2022-02-01,Option Exercise,0.0,"2,691",0,"2,691",Feb 03 04:21 PM
Nicolas Ernest,"SVP,Chief Supply Chain Officer",2021-12-15,Sale,344.34,69,"23,759","4,872",Dec 16 05:52 PM
Kulaszewicz Frank C,SVP,2021-12-15,Sale,344.34,279,"96,071","15,458",Dec 16 05:49 PM
Wlodarczyk Francis,SVP,2021-12-13,Sale,350.35,210,"73,573","8,793",Dec 14 05:44 PM
Riesterer Terry L.,Vice President and Controller,2021-12-13,Sale,350.18,34,"11,906","1,240",Dec 14 05:39 PM
Nicolas Ernest,"SVP,Chief Supply Chain Officer",2021-12-13,Sale,349.62,96,"33,563","4,942",Dec 14 05:28 PM
Nardecchia Christopher,"SVP, Chief Information Officer",2021-12-13,Sale,349.84,142,"49,677","8,237",Dec 14 05:21 PM
Moret Blake D.,President and CEO,2021-12-13,Sale,350.29,"1,240","434,365","58,255",Dec 14 04:49 PM
MILLER JOHN M,VP and Chief IP Counsel,2021-12-13,Sale,350.0,21,"7,350","4,508",Dec 14 04:43 PM
Kulaszewicz Frank C,SVP,2021-12-13,Sale,350.24,249,"87,211","15,737",Dec 14 04:33 PM
House Rebecca W,"SVP, CLO and Secretary",2021-12-13,Sale,350.35,229,"80,231","8,007",Dec 14 04:29 PM
Chand Sujeet,"Sr VP, Technology",2021-12-13,Sale,350.21,173,"60,586","31,784",Dec 14 04:16 PM
Woods Isaac,Vice President and Treasurer,2021-12-10,Option Exercise,0.0,58,0,478,Dec 14 05:50 PM
Wlodarczyk Francis,SVP,2021-12-10,Option Exercise,0.0,446,0,"9,003",Dec 14 05:44 PM
Riesterer Terry L.,Vice President and Controller,2021-12-10,Option Exercise,0.0,98,0,"1,274",Dec 14 05:39 PM
Nicolas Ernest,"SVP,Chief Supply Chain Officer",2021-12-10,Option Exercise,0.0,203,0,"5,038",Dec 14 05:28 PM
Nardecchia Christopher,"SVP, Chief Information Officer",2021-12-10,Option Exercise,0.0,285,0,"8,379",Dec 14 05:21 PM
Moret Blake D.,President and CEO,2021-12-10,Option Exercise,0.0,"2,635",0,"59,495",Dec 14 04:49 PM
MILLER JOHN M,VP and Chief IP Counsel,2021-12-10,Option Exercise,0.0,65,0,"4,529",Dec 14 04:43 PM
Kulaszewicz Frank C,SVP,2021-12-10,Option Exercise,0.0,528,0,"15,986",Dec 14 04:33 PM
House Rebecca W,"SVP, CLO and Secretary",2021-12-10,Option Exercise,0.0,486,0,"8,236",Dec 14 04:29 PM
Fooks Elik I,Senior Vice President,2021-12-10,Option Exercise,0.0,183,0,"5,124",Dec 14 04:25 PM
Chand Sujeet,"Sr VP, Technology",2021-12-10,Option Exercise,0.0,365,0,"31,957",Dec 14 04:16 PM
Kulaszewicz Frank C,SVP,2021-12-09,Sale,347.53,"3,341","1,161,099","15,458",Dec 09 07:11 PM
House Rebecca W,"SVP, CLO and Secretary",2021-12-06,Sale,342.74,"2,234","765,691","7,750",Dec 07 06:26 PM
MILLER JOHN M,VP and Chief IP Counsel,2021-12-06,Sale,342.76,248,"85,004","4,464",Dec 07 06:25 PM
Nardecchia Christopher,"SVP, Chief Information Officer",2021-12-06,Sale,342.74,"1,180","404,438","8,094",Dec 07 06:24 PM
Kulaszewicz Frank C,SVP,2021-12-06,Sale,342.78,"2,767","948,465","18,799",Dec 07 06:21 PM
Fooks Elik I,Senior Vice President,2021-12-06,Sale,342.76,962,"329,734","4,941",Dec 07 06:22 PM
Nicolas Ernest,"SVP,Chief Supply Chain Officer",2021-12-06,Sale,342.77,324,"111,058","4,834",Dec 07 06:20 PM
Riesterer Terry L.,Vice President and Controller,2021-12-06,Sale,342.78,233,"79,867","1,176",Dec 07 06:20 PM
